DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,FR,2003-01-01,59.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,FR,2004-01-01,59.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,FR,2005-01-01,59.5,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,SE,2005-01-01,69.8,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,FR,2006-01-01,59.7,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,SE,2006-01-01,70.2,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,FR,2007-01-01,60.7,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,SE,2007-01-01,71.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,FR,2008-01-01,61.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,SE,2008-01-01,71.4,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,AT,2009-01-01,65.2,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,BE,2009-01-01,56.0,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,BG,2009-01-01,57.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CY,2009-01-01,62.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,CZ,2009-01-01,56.7,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,DE,2009-01-01,64.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,DK,2009-01-01,70.9,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,EA20,2009-01-01,57.9,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,EA21,2009-01-01,57.9,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,EE,2009-01-01,64.1,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,EL,2009-01-01,48.5,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,ES,2009-01-01,53.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,EU27_2020,2009-01-01,56.7,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,FI,2009-01-01,67.1,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,FR,2009-01-01,60.9,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HR,2009-01-01,53.5,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,HU,2009-01-01,53.8,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IE,2009-01-01,59.0,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IS,2009-01-01,76.5,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,IT,2009-01-01,46.2,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LT,2009-01-01,60.4,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LU,2009-01-01,57.0,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,LV,2009-01-01,60.2,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,MK,2009-01-01,33.5,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,MT,2009-01-01,38.0,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,NL,2009-01-01,70.3,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,NO,2009-01-01,75.4,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,PL,2009-01-01,50.9,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,PT,2009-01-01,58.2,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,RO,2009-01-01,41.5,,
ESTAT:LFSI_EMP_A(1.0),16/04/26 23:00:00,A,EMP_LFS,F,Y15-64,PC_POP,SE,2009-01-01,69.7,,
